trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
695247,2378,930101,PRIJEM,VKLAD,700,700,,,
171812,576,930101,PRIJEM,VKLAD,900,900,,,
207264,704,930101,PRIJEM,VKLAD,1000,1000,,,
1117247,3818,930101,PRIJEM,VKLAD,600,600,,,
579373,1972,930102,PRIJEM,VKLAD,400,400,,,
771035,2632,930102,PRIJEM,VKLAD,1100,1100,,,
452728,1539,930103,PRIJEM,VKLAD,600,600,,,
725751,2484,930103,PRIJEM,VKLAD,1100,1100,,,
497211,1695,930103,PRIJEM,VKLAD,200,200,,,
232960,793,930103,PRIJEM,VKLAD,800,800,,,
505240,1726,930103,PRIJEM,VKLAD,1000,1000,,,
144541,485,930104,PRIJEM,VKLAD,300,300,,,
637741,2177,930104,PRIJEM,VKLAD,800,800,,,
689827,2357,930104,PRIJEM,VKLAD,800,800,,,
846006,2881,930104,PRIJEM,VKLAD,700,700,,,
637742,2177,930105,PRIJEM,PREVOD Z UCTU,5123,5923,DUCHOD,YZ,62457513
2908688,9635,930105,PRIJEM,VKLAD,400,400,,,
232961,793,930105,PRIJEM,PREVOD Z UCTU,3401,4201,,IJ,6149286
192096,652,930105,PRIJEM,VKLAD,700,700,,,
542215,1844,930106,PRIJEM,VKLAD,500,500,,,
565654,1926,930106,PRIJEM,VKLAD,700,700,,,
542216,1844,930107,PRIJEM,PREVOD Z UCTU,3242,3742,,ST,42988401
1027725,3510,930107,PRIJEM,VKLAD,500,500,,,
374589,1276,930107,PRIJEM,VKLAD,400,400,,,
579374,1972,930107,PRIJEM,PREVOD Z UCTU,5298,5698,DUCHOD,UV,14132887
699220,2393,930107,PRIJEM,VKLAD,900,900,,,
129502,435,930108,PRIJEM,VKLAD,400,400,,,
374590,1276,930108,PRIJEM,VKLAD,6774,7174,,,
57433,192,930108,PRIJEM,VKLAD,300,300,,,
497212,1695,930108,PRIJEM,VKLAD,11832,12032,,,
621760,2122,930108,PRIJEM,VKLAD,300,300,,,
480215,1637,930113,PRIJEM,PREVOD Z UCTU,5718,6218,DUCHOD,UV,45134812
1548749,5270,930113,PRIJEM,VKLAD,800,800,,,
505241,1726,930113,PRIJEM,VKLAD,13967,14967,,,
846007,2881,930113,PRIJEM,VKLAD,6959,7659,,,
1021121,3487,930113,PRIJEM,VKLAD,15914,16714,,,
2908689,9635,930114,PRIJEM,PREVOD Z UCTU,4470,4870,DUCHOD,CD,37906074
858384,2926,930114,PRIJEM,VKLAD,600,600,,,
498389,1699,930114,PRIJEM,VKLAD,800,800,,,
699221,2393,930114,PRIJEM,VKLAD,10737,11637,,,
1142758,3909,930114,PRIJEM,VKLAD,700,700,,,
1548750,5270,930114,PRIJEM,PREVOD Z UCTU,44749,45549,,IJ,80269753
506836,1731,930114,PRIJEM,VKLAD,200,200,,,
3393738,11265,930114,PRIJEM,VKLAD,1000,1000,,,
621775,2122,930115,PRIJEM,VKLAD,46552,46852,,,
737258,2519,930115,PRIJEM,VKLAD,500,500,,,
144549,485,930116,PRIJEM,VKLAD,13156,13456,,,
435762,1481,930117,PRIJEM,VKLAD,1000,1000,,,
1027726,3510,930117,PRIJEM,VKLAD,23323,23823,,,
